['Time', 'Result', 'Bet', 'Lose Streak', 'Martingale Base', 'Martingale Growth', 'Martingale', type, prob, strategy, moeda, caixa, profit, min_profit]
[datetime.datetime(2022, 11, 20, 19, 53, 4, 228384), 'loose', 2, 0, 2.1165, 1.2023, 1, 'Call', 0.5301427, 'Stop Loss', 'EURUSD-OTC', 17930.93, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 55, 4, 214507), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.5378022, 'Stop Loss', 'EURUSD-OTC', 17934.57, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 57, 4, 263993), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.5441746, 'Stop Loss', 'EURUSD-OTC', 17932.57, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 19, 59, 4, 305281), 'loose', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.5479346, 'Stop Loss', 'EURUSD-OTC', 17928.34, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 1, 4, 268845), 'win', 10.771579432349997, 2, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.5519767, 'Stop Loss', 'EURUSD-OTC', 17937.6, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 3, 4, 358543), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.54776937, 'Stop Loss', 'EURUSD-OTC', 17939.32, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 5, 4, 273544), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.5343587, 'Stop Loss', 'EURUSD-OTC', 17941.04, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 7, 4, 225853), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.5252379, 'Stop Loss', 'EURUSD-OTC', 17942.76, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 9, 4, 264790), 'win', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.533284, 'Stop Loss', 'EURUSD-OTC', 17944.48, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 11, 4, 175687), 'loose', 2, 0, 2.1165, 1.2023, 2.5446679499999996, 'Call', 0.53357327, 'Stop Loss', 'EURUSD-OTC', 17942.48, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 13, 4, 219156), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.53740245, 'Stop Loss', 'EURUSD-OTC', 17946.12, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 16, 5, 392167), 'loose', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.6649315, 'Stop Loss', 'EURUSD-OTC', 17944.12, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 18, 4, 732011), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.70020515, 'Stop Loss', 'EURUSD-OTC', 17947.76, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 20, 4, 731226), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.7255933, 'Stop Loss', 'EURUSD-OTC', 17949.48, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 25, 7, 290184), 'win', 2, 0, 2.1165, 1.2023, 1, 'Call', 0.5047622, 'Stop Loss', 'EURUSD-OTC', 17949.2, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 26, 17, 134244), 'win', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.58189154, 'Stop Loss', 'EURUSD-OTC', 17950.92, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 28, 6, 702242), 'win', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.65697294, 'Stop Loss', 'EURUSD-OTC', 17952.64, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 29, 16, 751551), 'loose', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.6419343, 'Stop Loss', 'EURUSD-OTC', 17950.64, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 37, 7, 629048), 'win', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.5267683, 'Stop Loss', 'EURUSD-OTC', 17949.85, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 38, 7, 594873), 'win', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.5235944, 'Stop Loss', 'EURUSD-OTC', 17951.57, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 39, 6, 369977), 'win', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.52457774, 'Stop Loss', 'EURUSD-OTC', 17953.29, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 40, 6, 496990), 'win', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.5265778, 'Stop Loss', 'EURUSD-OTC', 17955.01, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 41, 7, 314605), 'loose', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.52858734, 'Stop Loss', 'EURUSD-OTC', 17953.01, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 42, 7, 275100), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.5275977, 'Stop Loss', 'EURUSD-OTC', 17956.64, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 43, 6, 402075), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.5306809, 'Stop Loss', 'EURUSD-OTC', 17954.64, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 44, 6, 828350), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.53444463, 'Stop Loss', 'EURUSD-OTC', 17958.28, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 45, 7, 348202), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.5343296, 'Stop Loss', 'EURUSD-OTC', 17960, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 46, 7, 898044), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.5331199, 'Stop Loss', 'EURUSD-OTC', 17958, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 47, 8, 595859), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.5328456, 'Stop Loss', 'EURUSD-OTC', 17961.64, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 48, 6, 673361), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.5329486, 'Stop Loss', 'EURUSD-OTC', 17963.36, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 49, 7, 576978), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.5339906, 'Stop Loss', 'EURUSD-OTC', 17961.36, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 50, 7, 199433), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Put', 0.53525233, 'Stop Loss', 'EURUSD-OTC', 17964.99, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 51, 6, 790367), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Put', 0.53582245, 'Stop Loss', 'EURUSD-OTC', 17966.71, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 54, 5, 836136), 'loose', 2, 0, 2.1165, 1.2023, 1, 'Put', 0.5012355, 'Stop Loss', 'EURUSD-OTC', 17962.71, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 55, 5, 745171), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.5353309, 'Stop Loss', 'EURUSD-OTC', 17966.35, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 56, 6, 50696), 'loose', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.5590292, 'Stop Loss', 'EURUSD-OTC', 17964.35, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 57, 6, 129949), 'win', 4.233, 1, 2.1165, 1.2023, 2.1165, 'Call', 0.5719051, 'Stop Loss', 'EURUSD-OTC', 17967.99, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 58, 5, 331622), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.58384794, 'Stop Loss', 'EURUSD-OTC', 17969.71, 0.86, 0.82]
[datetime.datetime(2022, 11, 20, 20, 59, 5, 716354), 'win', 2, 0, 2.1165, 1.2023, 2.1165, 'Call', 0.57914394, 'Stop Loss', 'EURUSD-OTC', 17971.43, 0.86, 0.82]
